[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/e-select2/css/e-select2.min.css
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/e-select2/js/e-select2.full.min.js
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/e-select2/js/e-select2.full.js
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/tipsy/tipsy.min.js
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/tipsy/tipsy.js
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/dialog/dialog.min.js
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/dialog/dialog.js
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/imagesloaded/imagesloaded.js
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/imagesloaded/imagesloaded.min.js
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.css
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/eicons/eicons.json
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.ttf
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.eot
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.woff
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.svg
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.woff2
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/color-thief/color-thief.min.js
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/perfect-scrollbar/js/perfect-scrollbar.min.js
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/perfect-scrollbar/js/perfect-scrollbar.js
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/backbone/backbone.radio.min.js
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/backbone/backbone.radio.js
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/backbone/backbone.marionette.js
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/backbone/backbone.marionette.min.js
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.css
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.css
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.min.css
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.css
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.css
